 56662  0.0234  0.3060 -0.11934
 56663  0.0224  0.3071 -0.12052
 56664  0.0215  0.3082 -0.12170
 56665  0.0205  0.3094 -0.12287
 56666  0.0196  0.3106 -0.12404
 56667  0.0187  0.3117 -0.12521
 56668  0.0178  0.3129 -0.12637
 56669  0.0169  0.3141 -0.12753
 56670  0.0161  0.3154 -0.12869
 56671  0.0152  0.3166 -0.12985
 56672  0.0144  0.3179 -0.13100
 56673  0.0137  0.3191 -0.13215
 56674  0.0129  0.3204 -0.13330
 56675  0.0122  0.3217 -0.13444
 56676  0.0115  0.3230 -0.13559
 56677  0.0108  0.3243 -0.13674
 56678  0.0102  0.3256 -0.13788
 56679  0.0096  0.3270 -0.13902
 56680  0.0090  0.3283 -0.14016
 56681  0.0084  0.3297 -0.14131
 56682  0.0079  0.3310 -0.14245
 56683  0.0073  0.3324 -0.14359
 56684  0.0068  0.3338 -0.14474
 56685  0.0064  0.3352 -0.14588
 56686  0.0060  0.3366 -0.14702
 56687  0.0055  0.3380 -0.14817
 56688  0.0052  0.3394 -0.14932
 56689  0.0048  0.3409 -0.15047
 56690  0.0045  0.3423 -0.15162
 56691  0.0042  0.3437 -0.15277
 56692  0.0039  0.3452 -0.15393
 56693  0.0037  0.3466 -0.15509
 56694  0.0035  0.3481 -0.15625
 56695  0.0033  0.3495 -0.15742
 56696  0.0031  0.3510 -0.15859
 56697  0.0030  0.3525 -0.15976
 56698  0.0029  0.3539 -0.16094
 56699  0.0029  0.3554 -0.16212
 56700  0.0028  0.3569 -0.16330
 56701  0.0028  0.3584 -0.16449
 56702  0.0028  0.3598 -0.16568
 56703  0.0029  0.3613 -0.16688
 56704  0.0030  0.3628 -0.16808
 56705  0.0031  0.3643 -0.16929
 56706  0.0032  0.3657 -0.17051
 56707  0.0034  0.3672 -0.17173
 56708  0.0036  0.3687 -0.17295
 56709  0.0038  0.3702 -0.17418
 56710  0.0041  0.3716 -0.17542
 56711  0.0044  0.3731 -0.17666
 56712  0.0047  0.3746 -0.17791
 56713  0.0050  0.3760 -0.17916
 56714  0.0054  0.3775 -0.18042
 56715  0.0058  0.3789 -0.18169
 56716  0.0062  0.3804 -0.18296
 56717  0.0067  0.3818 -0.18424
 56718  0.0072  0.3832 -0.18552
 56719  0.0077  0.3847 -0.18682
 56720  0.0083  0.3861 -0.18811
 56721  0.0088  0.3875 -0.18942
 56722  0.0094  0.3889 -0.19073
 56723  0.0101  0.3903 -0.19205
 56724  0.0107  0.3917 -0.19337
 56725  0.0114  0.3931 -0.19470
 56726  0.0122  0.3945 -0.19604
 56727  0.0129  0.3958 -0.19738
 56728  0.0137  0.3972 -0.19873
 56729  0.0145  0.3985 -0.20008
 56730  0.0153  0.3998 -0.20145
 56731  0.0162  0.4011 -0.20281
 56732  0.0171  0.4025 -0.20419
 56733  0.0180  0.4037 -0.20556
 56734  0.0189  0.4050 -0.20695
 56735  0.0199  0.4063 -0.20834
 56736  0.0209  0.4075 -0.20973
 56737  0.0219  0.4088 -0.21113
 56738  0.0229  0.4100 -0.21254
 56739  0.0240  0.4112 -0.21394
 56740  0.0251  0.4124 -0.21536
 56741  0.0262  0.4136 -0.21677
 56742  0.0273  0.4147 -0.21820
 56743  0.0285  0.4159 -0.21962
 56744  0.0297  0.4170 -0.22105
 56745  0.0309  0.4181 -0.22248
 56746  0.0321  0.4192 -0.22392
 56747  0.0334  0.4203 -0.22535
 56748  0.0347  0.4213 -0.22679
 56749  0.0360  0.4224 -0.22823
 56750  0.0373  0.4234 -0.22968
 56751  0.0387  0.4244 -0.23112
 56752  0.0400  0.4253 -0.23257
 56753  0.0414  0.4263 -0.23402
 56754  0.0428  0.4272 -0.23546
 56755  0.0443  0.4282 -0.23691
 56756  0.0457  0.4290 -0.23836
 56757  0.0472  0.4299 -0.23981
 56758  0.0487  0.4308 -0.24125
 56759  0.0502  0.4316 -0.24270
 56760  0.0517  0.4324 -0.24414
 56761  0.0532  0.4332 -0.24558
 56762  0.0548  0.4339 -0.24702
 56763  0.0564  0.4347 -0.24846
 56764  0.0580  0.4354 -0.24989
 56765  0.0596  0.4361 -0.25132
 56766  0.0612  0.4367 -0.25275
 56767  0.0628  0.4374 -0.25417
 56768  0.0645  0.4380 -0.25559
 56769  0.0661  0.4386 -0.25700
 56770  0.0678  0.4392 -0.25840
 56771  0.0695  0.4397 -0.25981
 56772  0.0712  0.4402 -0.26120
 56773  0.0729  0.4407 -0.26259
 56774  0.0747  0.4412 -0.26397
 56775  0.0764  0.4416 -0.26534
 56776  0.0782  0.4420 -0.26671
 56777  0.0799  0.4424 -0.26807
 56778  0.0817  0.4428 -0.26942
 56779  0.0835  0.4431 -0.27076
 56780  0.0853  0.4434 -0.27209
 56781  0.0870  0.4437 -0.27341
 56782  0.0889  0.4439 -0.27472
 56783  0.0907  0.4441 -0.27602
 56784  0.0925  0.4443 -0.27731
 56785  0.0943  0.4445 -0.27859
 56786  0.0961  0.4447 -0.27986
 56787  0.0980  0.4448 -0.28112
 56788  0.0998  0.4448 -0.28236
